Date,id,ID_1,Rep,Biotreat,Ntreat,NDVI,SAVI,NDRE,Elevation,Yield,Biomass
7/17/2024,562,62,4,Yes,CFP,0.874375671,0.813850164,0.746275511,138.1052379,8692.13,
7/17/2024,563,63,4,Yes,0,0.765462577,0.72208942,0.614611239,139.3315295,3589.65,
7/17/2024,564,64,4,No,0,0.758892638,0.717469931,0.604110756,139.0237331,5413.46,
7/17/2024,565,65,4,No,VRN,0.854814609,0.801021516,0.732302804,138.0771519,10159.26,
7/17/2024,566,66,4,No,CFP,0.88251102,0.820408632,0.766095679,137.3212201,14472.6,
8/18/2024,507,7,1,Yes,VRN,0.831570089,0.770436481,0.644033805,139.2807448,8431.86,3.51
8/18/2024,508,8,1,Yes,0,0.797062712,0.724702895,0.585195107,139.8109117,5914.3,2.43
8/18/2024,509,9,1,Yes,CFP,0.805882609,0.754681766,0.623963833,140.6203311,9617,2.67
8/18/2024,510,10,1,No,0,0.801712215,0.732455045,0.588740935,140.3854367,6851.75,2.13
8/18/2024,511,11,1,No,VRN,0.833424379,0.7653069,0.640699595,139.3826211,13192.2,2.98
8/18/2024,512,12,1,No,CFP,0.844109108,0.784169286,0.675561249,138.7313145,9760.37,3.38
8/18/2024,525,25,2,Yes,CFP,0.845143701,0.785626829,0.672988832,138.3243276,10782.11,2.18
8/18/2024,526,26,2,Yes,VRN,0.840422466,0.783045441,0.664231077,139.0475507,9690.29,3.52
8/18/2024,527,27,2,Yes,0,0.789398125,0.71096577,0.57081736,140.1786946,5241.59,2.05
8/18/2024,528,28,2,No,VRN,0.819703579,0.754204725,0.614021191,139.8417294,9230.23,3.4
8/18/2024,529,29,2,No,CFP,0.851506551,0.7855497,0.676830848,138.7601279,12784.24,3.36
8/18/2024,530,30,2,No,0,0.838946899,0.76975132,0.655918072,138.061066,8395.89,2.52
8/18/2024,543,43,3,No,CFP,0.845097269,0.782874031,0.672386953,137.7557234,11857.26,4
8/18/2024,544,44,3,No,VRN,0.848734945,0.78359589,0.674907833,138.4836356,8170.05,3.3
8/18/2024,545,45,3,No,0,0.798343548,0.724570079,0.588742009,139.8641357,6840.99,1.64
8/18/2024,546,46,3,Yes,CFP,0.818248527,0.754440878,0.621389227,139.6149857,8089.64,2.96
8/18/2024,547,47,3,Yes,0,0.836189866,0.76842618,0.639211565,138.2719199,7370.27,2.98
8/18/2024,548,48,3,Yes,VRN,0.84239975,0.789769965,0.677931275,137.5323679,11648.07,3.61
8/18/2024,561,61,4,Yes,VRN,0.839938453,0.780799993,0.668952686,137.4070955,13169.47,3.52
8/18/2024,562,62,4,Yes,CFP,0.842973143,0.791522086,0.67188701,138.1052379,8692.13,3.1
8/18/2024,563,63,4,Yes,0,0.789846609,0.710647941,0.563632766,139.3315295,3589.65,1.99
8/18/2024,564,64,4,No,0,0.76252641,0.69623363,0.539444745,139.0237331,5413.46,1.83
8/18/2024,565,65,4,No,VRN,0.836366951,0.780719082,0.673026224,138.0771519,10159.26,3.17
8/18/2024,566,66,4,No,CFP,0.848212103,0.794453094,0.68712466,137.3212201,14472.6,3.98
9/10/2024,507,7,1,Yes,VRN,0.399687469,0.528205141,0.304244943,139.2807448,8431.86,
9/10/2024,508,8,1,Yes,0,0.406300251,0.521565701,0.291237107,139.8109117,5914.3,
9/10/2024,509,9,1,Yes,CFP,0.418696111,0.530022049,0.295743191,140.6203311,9617,
9/10/2024,510,10,1,No,0,0.416269884,0.529788127,0.315915321,140.3854367,6851.75,
9/10/2024,511,11,1,No,VRN,0.414052228,0.527012696,0.305507272,139.3826211,13192.2,
9/10/2024,512,12,1,No,CFP,0.407344893,0.530657391,0.311216444,138.7313145,9760.37,
9/10/2024,525,25,2,Yes,CFP,0.404927369,0.516997201,0.299811832,138.3243276,10782.11,
9/10/2024,526,26,2,Yes,VRN,0.400085829,0.520308658,0.295125298,139.0475507,9690.29,
9/10/2024,527,27,2,Yes,0,0.413465129,0.519732893,0.305400699,140.1786946,5241.59,
9/10/2024,528,28,2,No,VRN,0.425261178,0.539851316,0.309816429,139.8417294,9230.23,
9/10/2024,529,29,2,No,CFP,0.406587909,0.530758202,0.295526107,138.7601279,12784.24,
9/10/2024,530,30,2,No,0,0.4055934,0.517854065,0.289816779,138.061066,8395.89,
9/10/2024,543,43,3,No,CFP,0.404470231,0.523267286,0.291537404,137.7557234,11857.26,
9/10/2024,544,44,3,No,VRN,0.408117563,0.524157077,0.306453705,138.4836356,8170.05,
9/10/2024,545,45,3,No,0,0.424889773,0.530849372,0.31199692,139.8641357,6840.99,
9/10/2024,546,46,3,Yes,CFP,0.425632204,0.542763804,0.309305421,139.6149857,8089.64,
9/10/2024,547,47,3,Yes,0,0.406869635,0.516488761,0.290517107,138.2719199,7370.27,
9/10/2024,548,48,3,Yes,VRN,0.408248897,0.521291537,0.300550214,137.5323679,11648.07,
9/10/2024,561,61,4,Yes,VRN,0.416126158,0.527628166,0.303001182,137.4070955,13169.47,
9/10/2024,562,62,4,Yes,CFP,0.417902425,0.538268983,0.317188069,138.1052379,8692.13,
9/10/2024,563,63,4,Yes,0,0.442467233,0.540962448,0.31392464,139.3315295,3589.65,
9/10/2024,564,64,4,No,0,0.444064673,0.545936567,0.309401793,139.0237331,5413.46,
9/10/2024,565,65,4,No,VRN,0.431357553,0.544571201,0.317692369,138.0771519,10159.26,
9/10/2024,566,66,4,No,CFP,0.416526988,0.53036056,0.30780078,137.3212201,14472.6,
